(T: 100.000) error: 13.00%, cost: 94.20, equation: 0.810x-2.598y-31.443=0
(T: 99.000) error: 23.00%, cost: 172.76, equation: 0.972x-0.523y-62.127=0
(T: 98.010) error: 11.00%, cost: 90.10, equation: 0.810x-2.964y-31.443=0
(T: 97.030) error: 16.00%, cost: 175.13, equation: 1.356x-1.171y-85.154=0
(T: 96.060) error: 11.00%, cost: 89.64, equation: 0.810x-2.809y-31.443=0
(T: 95.099) error: 17.00%, cost: 187.41, equation: 0.810x-4.026y-31.443=0
(T: 94.148) error: 15.00%, cost: 116.67, equation: 0.988x-0.486y-78.561=0
(T: 93.207) error: 12.00%, cost: 184.77, equation: 2.124x-2.586y-144.585=0
(T: 92.274) error: 15.00%, cost: 147.93, equation: 0.810x-3.727y-31.443=0
(T: 91.352) error: 17.00%, cost: 168.27, equation: 0.810x-3.893y-31.443=0
(T: 90.438) error: 17.00%, cost: 90.71, equation: 0.205x-2.586y+14.856=0
(T: 89.534) error: 12.00%, cost: 194.36, equation: 2.201x-4.024y-134.931=0
(T: 88.638) error: 17.00%, cost: 187.07, equation: 0.810x-4.024y-31.443=0
(T: 87.752) error: 15.00%, cost: 147.93, equation: 0.810x-3.727y-31.443=0
(T: 86.875) error: 15.00%, cost: 147.06, equation: 0.810x-3.719y-31.443=0
(T: 86.006) error: 10.00%, cost: 90.49, equation: 0.810x-3.041y-31.443=0
(T: 85.146) error: 15.00%, cost: 147.06, equation: 0.810x-3.719y-31.443=0
(T: 84.294) error: 15.00%, cost: 147.06, equation: 0.810x-3.719y-31.443=0
(T: 83.451) error: 11.00%, cost: 172.92, equation: 1.784x-4.748y-89.492=0
(T: 82.617) error: 17.00%, cost: 187.41, equation: 0.810x-4.026y-31.443=0
(T: 81.791) error: 10.00%, cost: 219.50, equation: 2.401x-4.836y-136.393=0
(result) error: 10.00%, cost: 219.50, equation: 2.401x-4.836y-136.393=0
