(T: 100.000) error: 13.00%, cost: 112.87, equation: 0.868x-1.929y-40.400=0
(T: 99.000) error: 11.00%, cost: 88.23, equation: 0.868x-2.644y-40.400=0
(T: 98.010) error: 13.00%, cost: 107.88, equation: 0.912x-3.355y-38.755=0
(T: 97.030) error: 10.00%, cost: 163.97, equation: 1.912x-1.929y-128.336=0
(T: 96.060) error: 9.00%, cost: 160.13, equation: 1.912x-2.116y-128.336=0
(T: 95.099) error: 9.00%, cost: 160.13, equation: 1.912x-2.116y-128.336=0
(T: 94.148) error: 9.00%, cost: 160.13, equation: 1.912x-2.116y-128.336=0
(T: 93.207) error: 12.00%, cost: 196.12, equation: 1.500x-4.768y-55.509=0
(T: 92.274) error: 9.00%, cost: 160.13, equation: 1.912x-2.116y-128.336=0
(T: 91.352) error: 12.00%, cost: 210.66, equation: 1.595x-4.962y-59.785=0
(T: 90.438) error: 9.00%, cost: 160.13, equation: 1.912x-2.116y-128.336=0
(T: 89.534) error: 14.00%, cost: 224.13, equation: 1.912x-3.317y-128.336=0
(T: 88.638) error: 12.00%, cost: 210.66, equation: 1.595x-4.962y-59.785=0
(T: 87.752) error: 12.00%, cost: 189.90, equation: 1.912x-1.539y-128.336=0
(T: 86.875) error: 12.00%, cost: 221.95, equation: 1.595x-4.819y-59.785=0
(T: 86.006) error: 12.00%, cost: 210.66, equation: 1.595x-4.962y-59.785=0
(T: 85.146) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 84.294) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 83.451) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 82.617) error: 13.00%, cost: 201.86, equation: 1.811x-3.414y-95.403=0
(T: 81.791) error: 13.00%, cost: 205.00, equation: 1.975x-0.123y-153.614=0
(T: 80.973) error: 12.00%, cost: 213.11, equation: 2.420x-1.708y-177.109=0
(T: 80.163) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 79.361) error: 16.00%, cost: 213.47, equation: 1.439x-1.926y-106.304=0
(T: 78.568) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 77.782) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 77.004) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 76.234) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(T: 75.472) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
(result) error: 9.00%, cost: 234.52, equation: 2.714x-4.569y-167.062=0
