(T: 48.499) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 48.014) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 47.534) error: 16.00%, cost: 45.57, equation: 0.275x-0.578y-18.343=0
(T: 47.059) error: 13.00%, cost: 278.37, equation: 2.638x-1.838y-178.830=0
(T: 46.588) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 46.122) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 45.661) error: 12.00%, cost: 289.17, equation: 3.409x-2.766y-242.720=0
(T: 45.204) error: 10.00%, cost: 304.69, equation: 3.409x-2.261y-242.720=0
(T: 44.752) error: 10.00%, cost: 304.69, equation: 3.409x-2.261y-242.720=0
(T: 44.305) error: 11.00%, cost: 326.32, equation: 3.409x-1.955y-242.720=0
(T: 43.862) error: 11.00%, cost: 327.22, equation: 3.409x-1.943y-242.720=0
(result) error: 11.00%, cost: 327.22, equation: 3.409x-1.943y-242.720=0
