(T: 100.000) error: 26.00%, cost: 138.70, equation: 0.353x-1.010y-8.149=0
(T: 99.000) error: 14.00%, cost: 128.14, equation: 0.932x-3.132y-46.388=0
(T: 98.010) error: 11.00%, cost: 149.32, equation: 1.033x-4.907y-22.190=0
(T: 97.030) error: 14.00%, cost: 160.37, equation: 1.033x-4.711y-22.190=0
(T: 96.060) error: 11.00%, cost: 149.32, equation: 1.033x-4.907y-22.190=0
(T: 95.099) error: 11.00%, cost: 149.32, equation: 1.033x-4.907y-22.190=0
(T: 94.148) error: 11.00%, cost: 149.32, equation: 1.033x-4.907y-22.190=0
(T: 93.207) error: 11.00%, cost: 149.32, equation: 1.033x-4.907y-22.190=0
(T: 92.274) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 91.352) error: 10.00%, cost: 167.45, equation: 1.814x-4.358y-98.009=0
(T: 90.438) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 89.534) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 88.638) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 87.752) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 86.875) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 86.006) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 85.146) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 84.294) error: 13.00%, cost: 105.61, equation: 0.907x-1.596y-60.606=0
(T: 83.451) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 82.617) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 81.791) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 80.973) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 80.163) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 79.361) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 78.568) error: 10.00%, cost: 172.02, equation: 1.814x-3.951y-98.009=0
(T: 77.782) error: 10.00%, cost: 173.91, equation: 1.814x-3.806y-98.009=0
(T: 77.004) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 76.234) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 75.472) error: 11.00%, cost: 179.21, equation: 1.814x-3.609y-98.009=0
(T: 74.717) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 73.970) error: 10.00%, cost: 172.02, equation: 1.814x-3.951y-98.009=0
(T: 73.230) error: 10.00%, cost: 172.02, equation: 1.814x-3.951y-98.009=0
(T: 72.498) error: 10.00%, cost: 172.02, equation: 1.814x-3.951y-98.009=0
(T: 71.773) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 71.055) error: 10.00%, cost: 172.24, equation: 1.814x-3.934y-98.009=0
(T: 70.345) error: 13.00%, cost: 154.35, equation: 1.671x-3.609y-97.325=0
(T: 69.641) error: 8.00%, cost: 255.09, equation: 3.044x-3.934y-199.169=0
(T: 68.945) error: 8.00%, cost: 255.09, equation: 3.044x-3.934y-199.169=0
(T: 68.255) error: 8.00%, cost: 255.09, equation: 3.044x-3.934y-199.169=0
(T: 67.573) error: 11.00%, cost: 230.73, equation: 2.714x-4.078y-174.421=0
(T: 66.897) error: 10.00%, cost: 228.96, equation: 2.714x-3.934y-174.421=0
(T: 66.228) error: 8.00%, cost: 255.09, equation: 3.044x-3.934y-199.169=0
(T: 65.566) error: 8.00%, cost: 255.09, equation: 3.044x-3.934y-199.169=0
(T: 64.910) error: 16.00%, cost: 232.15, equation: 1.682x-4.543y-97.632=0
(T: 64.261) error: 8.00%, cost: 255.09, equation: 3.044x-3.934y-199.169=0
(T: 63.619) error: 8.00%, cost: 255.10, equation: 3.044x-3.951y-199.169=0
(T: 62.982) error: 10.00%, cost: 197.71, equation: 2.321x-2.847y-156.395=0
(T: 62.353) error: 10.00%, cost: 166.24, equation: 1.902x-2.741y-118.923=0
(T: 61.729) error: 10.00%, cost: 163.72, equation: 1.902x-2.935y-118.923=0
