(T: 100.000) error: 14.00%, cost: 75.87, equation: 0.615x-2.376y-25.038=0
(T: 99.000) error: 11.00%, cost: 36.52, equation: 0.355x-1.073y-16.036=0
(T: 98.010) error: 13.00%, cost: 68.84, equation: 0.615x-1.905y-25.038=0
(T: 97.030) error: 13.00%, cost: 75.19, equation: 0.615x-2.368y-25.038=0
(T: 96.060) error: 15.00%, cost: 114.84, equation: 0.615x-2.761y-25.038=0
(T: 95.099) error: 14.00%, cost: 78.60, equation: 0.615x-2.409y-25.038=0
(T: 94.148) error: 11.00%, cost: 93.13, equation: 0.657x-3.018y-15.139=0
(T: 93.207) error: 13.00%, cost: 103.86, equation: 0.657x-3.628y-15.139=0
(T: 92.274) error: 19.00%, cost: 186.20, equation: 0.657x-2.192y-15.139=0
(T: 91.352) error: 13.00%, cost: 206.34, equation: 1.959x-3.521y-128.063=0
(T: 90.438) error: 10.00%, cost: 166.51, equation: 1.959x-2.761y-128.063=0
(T: 89.534) error: 11.00%, cost: 184.35, equation: 1.898x-3.226y-108.765=0
(T: 88.638) error: 13.00%, cost: 179.27, equation: 1.898x-4.308y-108.765=0
(T: 87.752) error: 13.00%, cost: 155.36, equation: 1.426x-2.761y-91.536=0
(T: 86.875) error: 11.00%, cost: 127.83, equation: 1.426x-2.376y-91.536=0
(T: 86.006) error: 12.00%, cost: 122.24, equation: 1.426x-2.192y-91.536=0
(T: 85.146) error: 16.00%, cost: 226.25, equation: 1.426x-3.272y-91.536=0
(T: 84.294) error: 16.00%, cost: 219.21, equation: 1.426x-3.226y-91.536=0
(T: 83.451) error: 8.00%, cost: 256.18, equation: 3.067x-2.795y-213.745=0
(T: 82.617) error: 16.00%, cost: 197.95, equation: 1.422x-3.580y-85.677=0
(T: 81.791) error: 11.00%, cost: 133.11, equation: 1.077x-4.810y-31.402=0
(T: 80.973) error: 8.00%, cost: 256.18, equation: 3.067x-2.795y-213.745=0
(T: 80.163) error: 8.00%, cost: 256.18, equation: 3.067x-2.795y-213.745=0
(T: 79.361) error: 8.00%, cost: 256.18, equation: 3.067x-2.795y-213.745=0
(T: 78.568) error: 11.00%, cost: 232.18, equation: 2.239x-3.226y-131.267=0
(T: 77.782) error: 8.00%, cost: 256.18, equation: 3.067x-2.795y-213.745=0
(T: 77.004) error: 12.00%, cost: 205.10, equation: 2.104x-2.009y-137.778=0
(T: 76.234) error: 10.00%, cost: 177.43, equation: 2.104x-2.877y-137.778=0
(T: 75.472) error: 10.00%, cost: 177.43, equation: 2.104x-2.877y-137.778=0
(T: 74.717) error: 8.00%, cost: 256.18, equation: 3.067x-2.795y-213.745=0
(T: 73.970) error: 10.00%, cost: 199.10, equation: 2.239x-4.308y-131.267=0
(T: 73.230) error: 11.00%, cost: 229.86, equation: 2.239x-3.272y-131.267=0
(T: 72.498) error: 12.00%, cost: 95.87, equation: 0.828x-3.226y-31.813=0
(T: 71.773) error: 10.00%, cost: 237.34, equation: 2.729x-4.271y-169.034=0
(T: 71.055) error: 22.00%, cost: 169.84, equation: 0.286x-1.413y+2.859=0
(T: 70.345) error: 9.00%, cost: 256.73, equation: 3.067x-2.761y-213.745=0
(T: 69.641) error: 9.00%, cost: 256.73, equation: 3.067x-2.761y-213.745=0
(T: 68.945) error: 9.00%, cost: 256.72, equation: 3.067x-2.762y-213.745=0
(T: 68.255) error: 17.00%, cost: 112.55, equation: 0.837x-0.619y-53.510=0
(T: 67.573) error: 21.00%, cost: 145.76, equation: 0.150x-3.272y+29.267=0
(T: 66.897) error: 9.00%, cost: 256.72, equation: 3.067x-2.762y-213.745=0
(T: 66.228) error: 9.00%, cost: 256.73, equation: 3.067x-2.761y-213.745=0
(T: 65.566) error: 12.00%, cost: 226.41, equation: 2.179x-2.279y-137.914=0
(T: 64.910) error: 12.00%, cost: 210.27, equation: 2.179x-2.500y-137.914=0
(T: 64.261) error: 10.00%, cost: 186.01, equation: 2.179x-3.226y-137.914=0
(T: 63.619) error: 10.00%, cost: 186.01, equation: 2.179x-3.226y-137.914=0
(T: 62.982) error: 10.00%, cost: 195.56, equation: 2.179x-2.761y-137.914=0
(T: 62.353) error: 10.00%, cost: 101.56, equation: 0.962x-2.877y-41.713=0
(T: 61.729) error: 16.00%, cost: 197.69, equation: 0.833x-2.442y-25.073=0
(T: 61.112) error: 11.00%, cost: 176.60, equation: 1.958x-4.308y-111.114=0
(T: 60.501) error: 14.00%, cost: 221.18, equation: 1.958x-2.877y-111.114=0
(T: 59.896) error: 13.00%, cost: 138.50, equation: 0.833x-4.271y-25.073=0
(T: 59.297) error: 13.00%, cost: 143.36, equation: 0.833x-2.877y-25.073=0
(T: 58.704) error: 11.00%, cost: 102.71, equation: 0.708x-2.267y-24.848=0
(T: 58.117) error: 11.00%, cost: 102.71, equation: 0.708x-2.267y-24.848=0
(T: 57.535) error: 11.00%, cost: 81.97, equation: 0.708x-2.761y-24.848=0
(T: 56.960) error: 9.00%, cost: 256.72, equation: 3.067x-2.762y-213.745=0
(T: 56.391) error: 12.00%, cost: 127.87, equation: 1.452x-1.265y-104.251=0
(T: 55.827) error: 12.00%, cost: 127.87, equation: 1.452x-1.265y-104.251=0
(T: 55.268) error: 9.00%, cost: 256.72, equation: 3.067x-2.762y-213.745=0
(T: 54.716) error: 12.00%, cost: 251.46, equation: 2.882x-3.226y-199.180=0
(T: 54.169) error: 15.00%, cost: 224.97, equation: 1.939x-4.796y-113.650=0
(T: 53.627) error: 12.00%, cost: 160.94, equation: 1.423x-3.820y-78.986=0
(T: 53.091) error: 11.00%, cost: 147.01, equation: 1.423x-2.500y-78.986=0
(T: 52.560) error: 12.00%, cost: 91.24, equation: 0.795x-2.965y-28.474=0
(T: 52.034) error: 10.00%, cost: 133.68, equation: 1.423x-2.877y-78.986=0
(T: 51.514) error: 11.00%, cost: 147.01, equation: 1.423x-2.500y-78.986=0
(T: 50.999) error: 11.00%, cost: 135.53, equation: 1.423x-2.761y-78.986=0
(T: 50.489) error: 11.00%, cost: 135.53, equation: 1.423x-2.761y-78.986=0
(T: 49.984) error: 11.00%, cost: 130.36, equation: 1.073x-4.199y-34.783=0
(T: 49.484) error: 9.00%, cost: 256.73, equation: 3.067x-2.761y-213.745=0
(T: 48.989) error: 13.00%, cost: 135.31, equation: 1.073x-4.014y-34.783=0
(T: 48.499) error: 9.00%, cost: 256.72, equation: 3.067x-2.762y-213.745=0
(T: 48.014) error: 9.00%, cost: 256.73, equation: 3.067x-2.761y-213.745=0
(result) error: 9.00%, cost: 256.73, equation: 3.067x-2.761y-213.745=0
